Date,agg0,agg10,agg30,agg60,agg120
1993-11-27,0.6,0.13,0.36,0.59,0.6
1993-12-02,0.2,0.09,0.2,0.2,0.2
1993-12-03,10.4,1.0,2.32,3.5,5.23
1993-12-04,7.2,0.53,1.1,1.85,2.59
1993-12-05,0.6,0.51,0.6,0.6,0.6
1993-12-07,5.4,0.6,1.47,2.7,3.63
1993-12-08,2.0,0.33,0.76,1.0,1.92
1993-12-09,0.4,0.05,0.15,0.28,0.4
1993-12-10,4.6,0.4,1.12,2.03,2.94
1993-12-11,1.4,0.63,1.12,1.4,1.4
1993-12-16,2.4,0.34,0.64,0.76,1.08
1993-12-18,0.7,0.11,0.33,0.47,0.74
1993-12-19,12.1,0.6,1.6,2.48,3.85
1993-12-23,2.2,0.36,0.98,1.45,1.6
1993-12-25,0.2,0.09,0.2,0.2,0.2
1993-12-28,0.2,0.03,0.1,0.2,0.2
1993-12-31,0.6,0.18,0.38,0.38,0.38
1994-01-04,3.2,0.55,1.33,1.72,2.53
1994-01-05,2.5,0.5,0.86,1.25,1.25
1994-01-06,3.5,0.25,0.72,1.44,2.18
1994-01-07,0.6,0.09,0.21,0.31,0.39
1994-01-08,0.2,0.07,0.2,0.2,0.2
1994-01-11,1.2,0.28,0.68,0.94,1.2
1994-01-12,0.8,0.2,0.38,0.59,0.59
1994-01-13,2.8,0.45,0.83,1.28,1.66
1994-01-14,3.0,0.53,0.8,0.8,0.96
1994-01-15,0.6,0.18,0.37,0.4,0.4
1994-01-18,8.2,0.2,0.58,1.02,1.87
1994-01-19,0.0,0.03,0.03,0.03,0.03
1994-01-22,0.2,0.2,0.2,0.2,0.2
1994-01-23,7.4,0.55,1.45,2.75,4.66
1994-01-25,0.6,0.43,0.59,0.6,0.6
1994-01-26,0.4,0.04,0.14,0.27,0.4
1994-01-28,2.2,0.55,0.66,0.79,1.18
1994-01-30,9.8,0.73,2.07,3.9,6.23
1994-02-01,0.8,0.16,0.45,0.69,0.8
1994-02-02,0.8,0.3,0.6,0.6,0.6
1994-02-09,2.8,0.43,1.15,1.39,1.4
1994-03-03,0.6,0.11,0.27,0.44,0.6
1994-03-05,2.8,0.3,0.83,1.62,2.61
1994-03-06,1.8,0.42,0.6,0.79,1.19
1994-03-07,1.8,0.3,0.5,0.74,1.15
1994-03-08,2.4,0.26,0.5,0.78,1.55
1994-03-09,0.6,0.18,0.36,0.58,0.58
1994-03-10,1.4,0.6,1.0,1.0,1.0
1994-03-12,2.6,0.18,0.46,0.86,1.62
1994-03-14,7.2,0.9,2.53,3.97,6.27
1994-03-16,0.2,0.2,0.2,0.2,0.2
1994-03-22,0.6,0.31,0.6,0.6,0.6
1994-03-23,14.0,0.5,1.4,2.5,4.77
1994-03-24,1.6,0.45,0.76,0.99,0.99
1994-03-25,0.4,0.23,0.4,0.4,0.4
